# P-8 corrode-fraction capture, 2026-08-30. VICE oracle, WarpMode off,
# no player input, one connection. 360s, 1868 samples, 0 dropped.
# room = $7935 (the Alien's room); damage = sum of $653F..$6562.
# 30 room changes, 4 damage -> 0.13 per action. See DISC-290.
t,room,damage
48.61,21,12
48.83,21,12
49.04,21,12
49.23,21,12
49.42,21,12
49.60,21,12
49.76,21,12
49.93,21,12
50.12,21,12
50.31,21,12
50.46,21,12
50.64,21,12
50.82,21,12
51.00,21,12
51.15,21,12
51.34,21,12
51.51,21,12
51.73,21,12
51.89,21,12
52.06,21,12
52.25,21,12
52.44,21,12
52.66,21,12
52.84,21,12
53.06,21,12
53.25,21,12
53.43,21,12
53.65,21,12
53.81,21,12
53.96,21,12
54.14,21,12
54.32,21,12
54.55,21,12
54.74,21,12
54.95,21,12
55.11,21,12
55.28,21,12
55.50,21,12
55.69,21,12
55.90,21,12
56.12,21,12
56.31,21,12
56.53,21,12
56.69,21,12
56.88,21,12
57.08,21,12
57.27,21,12
57.43,21,12
57.64,21,12
57.83,21,12
58.02,21,12
58.17,21,12
58.38,21,12
58.53,21,12
58.72,21,12
58.94,8,12
59.16,8,12
59.34,8,12
59.50,8,12
59.72,8,12
59.93,8,12
60.09,8,12
60.28,8,12
60.50,8,12
60.65,8,12
60.87,8,12
61.06,8,12
61.25,8,12
61.42,8,12
61.59,8,12
61.78,8,12
62.00,8,12
62.21,8,12
62.40,8,12
62.60,8,12
62.76,8,12
62.92,8,12
63.11,8,12
63.32,8,12
63.51,8,12
63.70,8,12
63.85,8,12
64.03,8,12
64.18,8,12
64.41,8,12
64.62,8,12
64.81,8,12
65.02,8,12
65.18,8,12
65.37,8,12
65.56,8,12
65.78,8,12
65.97,8,12
66.12,8,12
66.31,8,12
66.50,8,12
66.67,8,12
66.86,8,12
67.04,8,12
67.23,8,12
67.41,8,12
67.59,8,12
67.78,23,12
67.96,23,12
68.15,23,12
68.34,23,12
68.55,23,12
68.71,23,12
68.90,23,12
69.10,23,12
69.28,23,12
69.49,23,12
69.71,23,12
69.90,23,12
70.07,23,12
70.29,23,12
70.48,23,12
70.69,23,12
70.88,23,12
71.10,23,12
71.29,23,12
71.44,23,12
71.62,23,12
71.85,23,12
72.07,23,12
72.25,23,12
72.45,23,12
72.63,23,12
72.80,23,12
72.99,23,12
73.15,23,12
73.33,23,12
73.49,23,12
73.68,23,12
73.85,23,12
74.07,23,12
74.23,23,12
74.41,23,12
74.61,23,12
74.80,23,12
74.97,23,12
75.16,23,12
75.32,23,12
75.51,23,12
75.72,23,12
75.91,23,12
76.10,23,12
76.25,23,12
76.47,23,12
76.69,23,12
76.91,23,12
77.11,23,12
77.35,23,12
77.57,23,12
77.80,23,12
78.02,23,12
78.18,23,12
78.35,23,12
78.53,23,12
78.69,23,12
78.88,23,12
79.08,23,12
79.24,23,12
79.42,23,12
79.57,23,12
79.79,23,12
79.97,23,12
80.15,23,12
80.31,23,12
80.48,23,12
80.67,23,12
80.89,23,12
81.08,23,12
81.30,23,12
81.48,23,12
81.64,23,12
81.83,23,12
82.04,23,12
82.20,23,12
82.37,23,12
82.56,23,12
82.75,23,12
82.97,23,12
83.16,23,12
83.34,23,12
83.56,23,12
83.75,23,12
83.92,23,12
84.14,23,12
84.36,23,12
84.54,23,12
84.76,23,12
84.95,23,12
85.14,23,12
85.32,23,12
85.51,23,12
85.73,23,12
85.88,23,12
86.06,23,12
86.24,23,12
86.43,23,12
86.65,23,12
86.85,23,12
87.04,23,12
87.26,23,12
87.45,23,12
87.62,23,12
87.78,23,12
87.97,23,12
88.18,23,12
88.40,23,12
88.62,23,12
88.81,23,12
88.96,23,12
89.18,23,12
89.40,23,12
89.60,23,12
89.76,23,12
89.93,23,12
90.15,23,12
90.37,23,12
90.57,23,12
90.74,23,12
90.93,23,12
91.15,23,12
91.32,23,12
91.48,23,12
91.70,23,12
91.88,23,12
92.10,23,12
92.26,23,12
92.41,23,12
92.63,23,12
92.81,23,12
92.97,23,12
93.18,23,12
93.36,23,12
93.56,23,12
93.76,23,12
93.92,23,12
94.11,23,12
94.28,23,12
94.44,23,12
94.66,23,12
94.85,23,12
95.03,23,12
95.25,23,12
95.47,23,12
95.66,23,12
95.87,23,12
96.11,23,12
96.28,23,12
96.47,23,12
96.66,23,12
96.81,23,12
97.03,23,12
97.22,23,12
97.41,23,12
97.59,23,12
97.78,23,12
97.97,23,12
98.19,23,12
98.34,23,12
98.50,23,12
98.72,23,12
98.93,23,12
99.12,23,12
99.34,23,12
99.50,23,12
99.69,23,12
99.90,23,12
100.12,23,12
100.34,23,12
100.53,23,12
100.72,23,12
100.94,23,12
101.12,23,12
101.31,23,12
101.53,23,12
101.69,23,12
101.86,23,12
102.05,23,12
102.24,23,12
102.45,23,12
102.61,23,12
102.77,23,12
102.98,23,12
103.17,23,12
103.34,8,12
103.58,8,12
103.77,8,12
103.95,8,12
104.16,8,12
104.37,8,12
104.53,8,12
104.69,8,12
104.84,8,12
105.00,8,12
105.17,8,12
105.32,8,12
105.50,8,12
105.72,8,12
105.93,8,12
106.12,8,12
106.29,8,12
106.48,8,12
106.67,8,12
106.88,8,12
107.06,8,12
107.27,8,12
107.46,8,12
107.67,8,12
107.88,8,12
108.04,8,12
108.26,8,12
108.43,8,12
108.62,8,12
108.84,8,12
109.03,8,12
109.21,8,12
109.39,8,12
109.57,8,12
109.73,8,12
109.92,8,12
110.10,8,12
110.29,8,12
110.46,8,12
110.65,8,12
110.87,23,12
111.06,23,12
111.24,23,12
111.43,23,12
111.60,23,12
111.82,23,12
111.99,23,12
112.15,23,12
112.34,23,12
112.54,23,12
112.76,23,12
112.94,23,12
113.15,23,12
113.34,23,12
113.52,23,12
113.71,23,12
113.93,23,12
114.08,23,12
114.29,23,12
114.44,23,12
114.62,23,12
114.81,23,12
115.03,23,12
115.25,23,12
115.42,23,12
115.59,23,12
115.78,23,12
115.97,23,12
116.16,23,12
116.38,23,12
116.53,23,12
116.74,23,12
116.92,23,12
117.12,23,12
117.31,23,12
117.46,23,12
117.62,23,12
117.79,23,12
117.97,23,12
118.18,23,12
118.37,23,12
118.55,23,13
118.74,23,13
118.96,23,13
119.17,23,13
119.36,23,13
119.55,23,13
119.76,23,13
119.98,23,13
120.16,23,13
120.35,23,13
120.54,23,13
120.75,23,13
120.94,23,13
121.13,23,13
121.32,23,13
121.50,23,13
121.69,23,13
121.88,23,13
122.04,23,13
122.25,23,13
122.41,23,13
122.61,23,13
122.77,23,13
122.99,23,13
123.18,23,13
123.39,23,13
123.58,23,13
123.77,23,13
123.96,23,13
124.17,23,13
124.36,23,13
124.55,23,13
124.75,23,13
124.94,23,13
125.13,23,13
125.32,23,13
125.53,23,13
125.72,23,13
125.94,23,13
126.12,8,13
126.30,8,13
126.46,8,13
126.63,8,13
126.81,8,13
126.97,8,13
127.16,8,13
127.38,8,13
127.57,8,13
127.75,8,13
127.91,8,13
128.10,8,13
128.28,8,13
128.46,8,13
128.61,8,13
128.84,8,13
129.06,8,13
129.28,8,13
129.50,8,13
129.69,8,13
129.84,8,13
130.03,8,13
130.22,8,13
130.44,8,13
130.60,8,13
130.80,8,13
131.00,8,13
131.17,8,13
131.33,8,13
131.51,8,13
131.74,8,13
131.89,8,13
132.06,8,13
132.25,8,13
132.44,8,13
132.65,8,13
132.86,8,13
133.05,8,13
133.23,8,13
133.42,8,13
133.64,8,13
133.83,26,13
133.99,26,13
134.16,26,13
134.38,26,13
134.56,26,13
134.72,26,13
134.90,26,13
135.11,26,13
135.26,26,13
135.47,26,13
135.64,26,13
135.86,26,13
136.07,26,13
136.25,26,13
136.46,26,13
136.69,26,13
136.86,26,13
137.03,26,13
137.25,26,13
137.45,26,13
137.67,26,13
137.86,26,13
138.07,26,13
138.24,26,13
138.43,26,13
138.63,26,13
138.83,26,13
139.05,26,13
139.26,26,13
139.42,26,13
139.62,26,13
139.82,26,13
139.99,26,13
140.16,26,13
140.37,26,13
140.58,26,13
140.77,26,13
140.97,26,13
141.18,26,13
141.40,8,13
141.61,8,13
141.77,8,13
141.99,8,13
142.21,8,13
142.40,8,13
142.61,8,13
142.77,8,13
142.94,8,13
143.13,8,13
143.29,8,13
143.49,8,13
143.68,8,13
143.83,8,13
144.03,8,13
144.19,8,13
144.38,8,13
144.58,8,13
144.81,8,13
145.03,8,13
145.22,8,13
145.44,8,13
145.65,8,13
145.83,8,13
146.01,8,13
146.19,8,13
146.41,8,13
146.60,8,13
146.79,8,13
147.01,8,13
147.23,8,13
147.42,8,13
147.62,8,13
147.81,8,13
148.01,8,13
148.23,8,13
148.42,8,13
148.64,8,13
148.81,8,13
149.00,6,13
149.16,6,13
149.31,6,13
149.52,6,13
149.72,6,13
149.91,6,13
150.10,6,13
150.29,6,13
150.50,6,13
150.69,6,13
150.87,6,13
151.02,6,13
151.19,6,13
151.38,6,13
151.55,6,13
151.73,6,13
151.94,6,13
152.16,6,13
152.34,6,13
152.52,6,13
152.71,6,13
152.91,6,13
153.08,6,13
153.30,6,13
153.52,6,13
153.74,6,13
153.93,6,13
154.14,6,13
154.35,6,13
154.58,6,13
154.80,6,13
155.00,6,13
155.22,6,13
155.39,6,13
155.59,6,13
155.78,6,13
155.97,6,13
156.17,6,13
156.36,6,13
156.56,6,13
156.80,6,13
157.01,6,13
157.20,6,13
157.39,6,13
157.59,6,13
157.77,6,13
157.95,6,13
158.14,6,13
158.34,6,13
158.53,6,13
158.72,6,13
158.94,6,13
159.13,6,13
159.28,6,13
159.50,6,13
159.68,6,13
159.90,6,13
160.05,6,13
160.27,6,13
160.49,6,13
160.69,6,13
160.85,6,13
161.07,6,13
161.29,6,13
161.47,6,13
161.69,6,13
161.88,6,13
162.08,6,13
162.30,6,13
162.53,6,13
162.73,6,13
162.95,8,13
163.14,8,13
163.32,8,13
163.53,8,13
163.72,8,13
163.91,8,13
164.13,8,13
164.28,8,13
164.50,8,13
164.68,8,13
164.83,8,13
165.05,8,13
165.27,8,13
165.45,8,13
165.64,8,13
165.81,8,13
166.00,8,13
166.21,8,13
166.41,8,13
166.60,8,13
166.82,8,13
167.02,8,13
167.20,8,13
167.37,8,13
167.55,8,13
167.74,8,13
167.96,8,13
168.15,8,13
168.31,8,13
168.52,8,13
168.74,8,13
168.92,8,13
169.12,8,13
169.34,8,13
169.54,8,13
169.73,8,13
169.95,8,13
170.17,8,13
170.35,8,13
170.52,8,13
170.68,8,13
170.87,8,13
171.09,8,13
171.28,8,13
171.48,8,13
171.67,6,13
171.88,6,13
172.06,6,13
172.25,6,13
172.43,6,13
172.64,6,13
172.81,6,13
173.04,6,13
173.26,6,13
173.42,6,13
173.59,6,13
173.77,6,13
173.98,6,13
174.17,6,13
174.38,6,13
174.58,6,13
174.77,6,13
174.96,6,13
175.17,6,13
175.32,6,13
175.54,6,13
175.73,6,13
175.93,6,13
176.10,6,13
176.29,6,13
176.51,6,13
176.69,6,13
176.88,6,13
177.10,6,13
177.29,6,13
177.49,6,13
177.71,6,13
177.87,6,13
178.08,6,13
178.30,6,13
178.54,6,13
178.74,6,13
178.91,6,13
179.09,6,13
179.27,6,13
179.46,6,13
179.65,6,13
179.82,6,13
180.02,6,13
180.24,6,13
180.46,6,13
180.68,6,13
180.91,6,13
181.08,6,13
181.26,6,13
181.44,6,13
181.62,6,13
181.80,6,13
182.01,6,13
182.19,6,13
182.41,6,13
182.60,6,13
182.82,6,13
183.02,6,13
183.24,6,13
183.46,6,13
183.61,6,13
183.82,6,13
184.02,6,13
184.24,6,13
184.46,8,13
184.68,8,13
184.86,8,13
185.08,8,13
185.30,8,13
185.49,8,13
185.67,8,13
185.86,8,13
186.05,8,13
186.27,8,13
186.45,8,13
186.67,8,13
186.89,8,13
187.08,8,13
187.27,8,13
187.46,8,13
187.68,8,13
187.85,8,13
188.07,8,13
188.26,8,13
188.49,8,13
188.71,8,13
188.93,8,13
189.15,8,13
189.33,8,13
189.52,8,13
189.71,8,13
189.91,8,13
190.09,8,13
190.25,8,13
190.44,8,13
190.64,8,13
190.84,8,13
191.00,8,13
191.19,8,13
191.40,8,13
191.56,8,13
191.78,8,13
191.97,6,13
192.18,6,13
192.37,6,13
192.59,6,13
192.78,6,13
192.96,6,13
193.12,6,13
193.31,6,13
193.53,6,13
193.68,6,13
193.89,6,13
194.04,6,13
194.20,6,13
194.42,6,13
194.58,6,13
194.79,6,13
194.95,6,13
195.12,6,13
195.35,6,13
195.57,6,13
195.72,6,13
195.94,6,13
196.16,6,13
196.32,6,13
196.53,6,13
196.75,6,13
196.97,6,13
197.14,6,13
197.32,6,13
197.54,6,13
197.72,6,13
197.94,6,13
198.13,6,13
198.35,6,13
198.53,6,13
198.72,6,13
198.88,6,13
199.08,6,13
199.27,6,13
199.45,6,13
199.64,6,14
199.86,6,14
200.02,6,14
200.23,6,14
200.42,6,14
200.61,6,14
200.82,6,14
201.01,6,14
201.23,6,14
201.40,6,14
201.56,6,14
201.78,6,14
201.96,6,14
202.15,6,14
202.32,6,14
202.54,6,14
202.76,6,14
202.96,6,14
203.15,6,14
203.31,6,14
203.52,6,14
203.76,6,14
203.98,6,14
204.13,6,14
204.31,6,14
204.46,6,14
204.65,6,14
204.87,6,14
205.02,6,14
205.18,6,14
205.33,6,14
205.52,6,14
205.74,6,14
205.93,6,14
206.14,6,14
206.32,6,14
206.52,6,14
206.73,6,14
206.92,6,14
207.11,6,14
207.32,8,14
207.53,8,14
207.74,8,14
207.93,8,14
208.12,8,14
208.31,8,14
208.53,8,14
208.71,8,14
208.93,8,14
209.15,8,14
209.30,8,14
209.47,8,14
209.66,8,14
209.82,8,14
209.98,8,14
210.16,8,14
210.35,8,14
210.58,8,14
210.78,8,14
210.94,8,14
211.13,8,14
211.32,8,14
211.50,8,14
211.66,8,14
211.85,8,14
212.06,8,14
212.28,8,14
212.50,8,14
212.72,8,14
212.88,8,14
213.07,8,14
213.28,8,14
213.47,8,14
213.63,8,14
213.80,8,14
213.99,8,14
214.17,8,14
214.36,8,14
214.54,8,14
214.73,26,14
214.95,26,14
215.14,26,14
215.36,26,14
215.55,26,14
215.77,26,14
215.94,26,14
216.09,26,14
216.28,26,14
216.50,26,14
216.69,26,14
216.88,26,14
217.09,26,14
217.31,26,14
217.54,26,14
217.76,26,14
217.98,26,14
218.20,26,14
218.39,26,14
218.54,26,14
218.73,26,14
218.89,26,14
219.08,26,14
219.25,26,14
219.40,26,14
219.59,26,14
219.79,26,14
219.98,26,14
220.20,26,14
220.37,26,14
220.56,26,14
220.77,26,14
220.96,26,14
221.18,26,14
221.37,26,14
221.56,26,14
221.71,26,14
221.88,26,14
222.07,26,14
222.23,26,14
222.43,8,14
222.62,8,14
222.77,8,14
222.96,8,14
223.15,8,14
223.33,8,14
223.48,8,14
223.63,8,14
223.82,8,14
224.01,8,14
224.23,8,14
224.40,8,14
224.59,8,14
224.77,8,14
224.93,8,14
225.12,8,14
225.30,8,14
225.49,8,14
225.65,8,14
225.83,8,14
226.02,8,14
226.21,8,14
226.42,8,14
226.66,8,14
226.85,8,14
227.03,8,14
227.25,8,14
227.47,8,14
227.65,8,14
227.84,8,14
228.07,8,14
228.23,8,14
228.39,8,14
228.60,8,14
228.84,8,14
229.03,8,14
229.24,8,14
229.43,8,14
229.60,8,14
229.82,8,14
229.99,26,14
230.18,26,14
230.37,26,14
230.58,26,14
230.77,26,14
230.93,26,14
231.08,26,14
231.27,26,14
231.43,26,14
231.61,26,14
231.80,26,14
231.99,26,14
232.20,26,14
232.39,26,14
232.55,26,14
232.73,26,14
232.89,26,14
233.06,26,14
233.28,26,14
233.44,26,14
233.60,26,14
233.78,26,14
234.00,26,14
234.19,26,14
234.41,26,14
234.60,26,14
234.81,26,14
235.00,26,14
235.16,26,14
235.35,26,14
235.53,26,14
235.75,26,14
235.97,26,14
236.16,26,14
236.38,26,14
236.59,26,14
236.75,26,14
236.94,26,14
237.12,26,14
237.31,26,14
237.50,26,14
237.69,8,14
237.87,8,14
238.06,8,14
238.25,8,14
238.43,8,14
238.65,8,14
238.87,8,14
239.09,8,14
239.28,8,14
239.46,8,14
239.65,8,14
239.81,8,14
239.96,8,14
240.14,8,14
240.35,8,14
240.57,8,14
240.76,8,14
240.95,8,14
241.12,8,14
241.34,8,14
241.54,8,14
241.74,8,14
241.96,8,14
242.15,8,14
242.38,8,14
242.57,8,14
242.75,8,14
242.97,8,14
243.16,8,14
243.39,8,14
243.61,8,14
243.84,8,14
244.03,8,14
244.25,8,14
244.41,8,14
244.62,8,14
244.84,8,14
245.03,8,14
245.26,6,14
245.44,6,14
245.59,6,14
245.76,6,14
245.92,6,14
246.14,6,14
246.31,6,14
246.50,6,14
246.72,6,14
246.92,6,14
247.09,6,14
247.27,6,14
247.46,6,14
247.68,6,14
247.87,6,14
248.08,6,14
248.30,6,14
248.50,6,14
248.67,6,14
248.89,6,14
249.05,6,14
249.23,6,14
249.45,6,14
249.64,6,14
249.79,6,14
250.00,6,14
250.21,6,14
250.45,6,14
250.63,6,14
250.81,6,14
250.96,6,14
251.12,6,14
251.32,6,14
251.51,6,14
251.74,6,14
251.93,6,14
252.15,6,14
252.32,6,14
252.47,6,14
252.65,6,14
252.83,6,14
252.99,6,14
253.16,6,14
253.32,6,14
253.53,6,14
253.69,6,14
253.87,6,14
254.06,6,14
254.25,6,14
254.44,6,14
254.64,6,14
254.86,6,14
255.04,6,14
255.20,6,14
255.37,6,14
255.53,6,14
255.71,6,14
255.90,6,14
256.06,6,14
256.25,6,14
256.43,6,14
256.65,6,14
256.81,6,14
257.03,6,14
257.25,6,14
257.47,6,14
257.66,6,14
257.81,6,14
258.03,6,14
258.20,6,14
258.42,6,14
258.61,6,14
258.76,6,14
258.98,6,14
259.20,6,14
259.39,6,14
259.57,6,14
259.73,6,14
259.92,6,14
260.09,6,14
260.24,6,14
260.46,6,14
260.65,6,14
260.87,6,14
261.05,6,14
261.23,6,14
261.41,6,14
261.60,6,14
261.77,6,14
261.97,6,14
262.13,6,14
262.32,6,14
262.53,6,14
262.77,6,14
262.94,6,14
263.10,6,14
263.32,6,14
263.50,6,14
263.69,6,14
263.92,6,14
264.11,6,14
264.28,6,14
264.44,6,14
264.60,6,14
264.80,6,14
265.00,6,14
265.17,6,14
265.36,6,14
265.51,6,14
265.73,6,14
265.89,6,14
266.06,6,14
266.30,6,14
266.48,6,14
266.67,6,14
266.85,6,14
267.01,6,14
267.23,6,14
267.43,6,14
267.62,6,14
267.81,6,14
267.97,8,14
268.18,8,14
268.37,8,14
268.54,8,14
268.73,8,14
268.93,8,14
269.12,8,14
269.31,8,14
269.46,8,14
269.65,8,14
269.82,8,14
270.05,8,14
270.24,8,14
270.46,8,14
270.65,8,14
270.83,8,14
270.99,8,14
271.19,8,14
271.35,8,14
271.54,8,14
271.74,8,14
271.96,8,14
272.18,8,14
272.40,8,14
272.55,8,14
272.73,8,14
272.88,8,14
273.10,8,14
273.32,8,14
273.50,8,14
273.66,8,14
273.82,8,14
274.01,8,14
274.21,8,14
274.36,8,14
274.55,8,14
274.77,8,14
275.00,8,14
275.22,8,14
275.46,8,14
275.61,8,14
275.83,8,14
276.02,8,14
276.25,8,14
276.47,8,14
276.63,8,14
276.85,8,14
277.00,21,14
277.17,21,14
277.33,21,14
277.51,21,14
277.73,21,14
277.92,21,14
278.14,21,14
278.37,21,14
278.57,21,14
278.76,21,14
278.95,21,14
279.10,21,14
279.32,21,14
279.52,21,14
279.71,21,14
279.90,21,14
280.12,21,14
280.27,21,14
280.45,21,14
280.60,21,14
280.78,21,14
280.96,21,14
281.18,21,14
281.37,21,14
281.59,21,14
281.79,21,14
281.98,21,14
282.20,21,14
282.43,21,14
282.62,21,14
282.77,21,14
282.93,21,14
283.12,21,14
283.27,21,14
283.46,21,14
283.64,21,14
283.86,21,14
284.02,21,14
284.24,21,14
284.46,21,14
284.64,21,14
284.80,21,14
285.02,21,14
285.24,21,14
285.45,21,14
285.67,21,14
285.86,10,14
286.08,10,14
286.23,10,14
286.42,10,14
286.61,10,14
286.76,10,14
286.98,10,14
287.14,10,14
287.35,10,14
287.54,10,14
287.73,10,14
287.92,10,14
288.10,10,14
288.29,10,14
288.45,10,14
288.62,10,14
288.81,10,14
288.96,10,14
289.12,10,14
289.30,10,14
289.52,10,14
289.74,10,14
289.93,10,14
290.08,10,14
290.30,10,14
290.52,10,14
290.69,10,14
290.85,10,14
291.02,10,14
291.17,10,14
291.34,10,14
291.50,10,14
291.68,10,14
291.87,10,14
292.09,10,14
292.32,10,14
292.54,10,14
292.73,10,14
292.92,10,14
293.14,10,14
293.32,10,14
293.48,10,14
293.66,10,14
293.82,10,14
294.04,10,14
294.26,10,14
294.42,10,14
294.63,9,14
294.85,9,14
295.09,9,14
295.27,9,14
295.43,9,14
295.65,9,14
295.87,9,14
296.06,9,14
296.28,9,14
296.48,9,14
296.67,9,14
296.85,9,14
297.04,9,14
297.22,9,14
297.40,9,14
297.58,9,14
297.80,9,14
298.00,9,14
298.22,9,14
298.44,9,14
298.66,9,14
298.85,9,14
299.03,9,14
299.21,9,14
299.38,9,14
299.57,9,14
299.75,9,14
299.93,9,14
300.13,9,14
300.31,9,14
300.50,9,14
300.72,9,14
300.89,9,14
301.09,9,14
301.28,9,14
301.45,9,14
301.68,9,14
301.87,9,14
302.08,9,14
302.26,9,14
302.48,9,14
302.68,9,14
302.89,9,14
303.04,9,14
303.26,9,14
303.48,10,14
303.69,10,14
303.91,10,14
304.09,10,14
304.32,10,14
304.52,10,14
304.75,10,14
304.97,10,14
305.16,10,14
305.40,10,14
305.62,10,14
305.84,10,14
306.05,10,14
306.24,10,14
306.41,10,14
306.60,10,14
306.82,10,14
307.01,10,14
307.18,10,14
307.34,10,14
307.52,10,14
307.74,10,14
307.92,10,14
308.14,10,14
308.33,10,14
308.52,10,14
308.74,10,14
308.95,10,14
309.19,10,14
309.36,10,14
309.58,10,14
309.80,10,14
310.01,10,14
310.25,10,14
310.47,10,14
310.67,10,14
310.89,10,14
311.05,10,14
311.26,10,14
311.47,10,14
311.68,10,14
311.87,10,14
312.09,10,14
312.31,10,14
312.48,10,14
312.65,10,14
312.84,10,14
313.05,10,14
313.27,10,14
313.48,10,14
313.68,10,14
313.87,10,14
314.07,10,14
314.29,10,14
314.47,10,14
314.71,10,14
314.89,10,14
315.09,10,14
315.31,10,14
315.50,10,14
315.72,10,14
315.91,10,14
316.08,10,14
316.30,10,14
316.48,10,14
316.66,10,14
316.88,10,14
317.05,10,14
317.27,10,14
317.44,10,14
317.61,10,14
317.80,10,14
317.99,10,14
318.20,10,14
318.44,10,14
318.63,10,14
318.83,10,14
319.02,10,14
319.22,10,14
319.40,10,14
319.56,10,14
319.76,10,14
319.95,10,14
320.12,10,14
320.34,10,14
320.53,10,14
320.73,10,14
320.93,10,14
321.16,10,14
321.31,9,14
321.51,9,14
321.73,9,14
321.90,9,14
322.09,9,14
322.28,9,14
322.48,9,14
322.67,9,14
322.86,9,14
323.08,9,14
323.27,9,14
323.45,9,14
323.64,9,14
323.86,9,14
324.06,9,14
324.26,9,14
324.45,9,14
324.64,9,14
324.86,9,14
325.06,9,14
325.22,9,14
325.42,9,14
325.62,9,14
325.84,9,14
326.06,9,14
326.28,9,14
326.48,9,14
326.70,9,14
326.94,9,14
327.12,9,14
327.34,9,14
327.56,9,14
327.79,9,14
327.98,9,14
328.17,9,14
328.37,9,14
328.57,9,14
328.76,9,14
328.98,12,14
329.20,12,14
329.42,12,14
329.61,12,14
329.79,12,14
330.01,12,14
330.18,12,14
